"","low_int1","high_int1","low_int2","high_int2"
"Bb2_forte",-2.648777,-1.963987,-1.31948,-0.654831
"Bb2_mezzoforte",-2.648777,-2.064692,-1.299339,-0.654831
"Bb2_mezzopiano",-2.386946,-1.984128,-1.198635,-0.815958
"Bb2_piano",NA,NA,-1.339621,-0.654831
"Bb3_forte",-2.648777,-1.923706,-1.259057,-0.654831
"Bb3_mezzoforte",-2.648777,-1.641734,-0.674972,-0.654831
"Bb3_mezzopiano",-2.648777,-1.984128,-1.017367,-0.654831
"Bb3_piano",-2.648777,-1.943847,-0.815958,-0.654831
"D4_forte",-2.648777,-1.923706,-1.299339,-0.654831
"D4_mezzoforte",-2.648777,-1.742438,NA,NA
"D4_mezzopiano",NA,NA,-1.480607,-0.654831
"D4_piano",-2.648777,-1.923706,-1.31948,-0.654831
"F3_forte",-2.648777,-1.943847,-1.198635,-0.654831
"F3_mezzoforte",-2.588354,-2.2661,NA,NA
"F3_mezzopiano",-2.648777,-1.923706,-1.259057,-0.654831
"F3_piano",-2.648777,-2.064692,-1.56117,-0.654831
"F4_forte",-2.648777,-1.80286,-1.158353,-0.654831
"F4_mezzoforte",-2.648777,-1.762579,-1.158353,-0.654831
"F4_piano",-2.608495,-1.963987,-1.198635,-0.654831
"overall",NA,NA,NA,NA
"17_out_of_19",-2.386946,-2.2661,-0.674972,-0.815958
"16_out_of_19",-2.588354,-2.064692,-0.815958,-0.654831
