"","low_int1","high_int1","low_int2","high_int2","low_int3","high_int3","low_int4","high_int4"
"Bb2_a",-2.648777,-2.06085,NA,NA,NA,NA,NA,NA
"Bb2_e",NA,NA,-2.13924,-1.747289,-1.492521,-1.316143,NA,NA
"Bb2_i",NA,NA,-2.315618,-1.708094,-1.570911,-1.296545,-0.728216,-0.708619
"Bb2_o",-2.648777,-2.609582,NA,NA,NA,NA,-1.276948,-0.708619
"Bb2_u",NA,NA,NA,NA,NA,NA,-1.120167,-0.708619
"Bb3_a",-2.648777,-2.080448,NA,NA,NA,NA,NA,NA
"Bb3_e",NA,NA,-2.13924,-1.727692,-1.453326,-1.355338,NA,NA
"Bb3_i",NA,NA,-2.335216,-1.708094,-1.551314,-1.316143,NA,NA
"Bb3_o",-2.648777,-2.589984,NA,NA,NA,NA,-1.355338,-0.708619
"Bb3_u",NA,NA,NA,NA,NA,NA,-1.218155,-0.708619
"D4_a",-2.570387,-1.962862,NA,NA,NA,NA,NA,NA
"D4_e",NA,NA,-2.119643,-1.747289,NA,NA,NA,NA
"D4_i",NA,NA,-2.394009,-1.708094,-1.551314,-1.316143,NA,NA
"D4_o",NA,NA,NA,NA,NA,NA,-1.374936,-0.708619
"D4_u",NA,NA,NA,NA,NA,NA,-1.25735,-0.708619
"F3_a",-2.648777,-1.806082,NA,NA,NA,NA,NA,NA
"F3_e",NA,NA,-2.100045,-1.766887,-1.512119,-1.296545,NA,NA
"F3_i",-2.648777,-2.589984,-2.315618,-1.727692,-1.570911,-1.276948,-0.787009,-0.708619
"F3_o",NA,NA,NA,NA,NA,NA,-1.25735,-0.904594
"F3_u",NA,NA,NA,NA,NA,NA,-1.10057,-0.708619
"F4_a",-2.648777,-1.668899,NA,NA,NA,NA,NA,NA
"F4_e",-2.648777,-2.609582,-2.002058,-1.786484,-1.531716,-1.296545,NA,NA
"F4_i",NA,NA,-2.198033,-1.727692,-1.590509,-1.296545,NA,NA
"F4_o",-2.648777,-2.158838,NA,NA,NA,NA,-1.296545,-0.708619
"F4_u",NA,NA,NA,NA,NA,NA,-1.198558,-0.708619
"overall",NA,NA,NA,NA,NA,NA,NA,NA
